Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000100544082,6f5a9a55-708f-4169-aad9-49bba8ad051c,waterloo tangerine,1600000000100544083,,0.00,10/6/2025,No,No,819215023601,
1600000000100984829,717c5040-8928-4922-b13f-fe9aeaf3586f,starburst,1600000000100984830,,3.00,10/6/2025,No,No,040000000518,
1600000000047490062,728ecee7-1764-47f6-b466-56cd84a0f071,Cilantro-Lime Salad,1600000000047495272,,15.00,9/17/2025,No,No,,
1600000000047746177,763773a1-5645-4c80-a663-b3c6701a1b16,No mushrooms,1600000000047773756,,0.00,9/17/2025,No,Yes,,
1600000000047154137,765d9e12-cf55-4190-962f-94e76021d089,Sunkissed tea,1600000000047211960,,4.00,9/17/2025,No,No,,
1600000000047702854,76db89ec-3fec-4be2-9d49-b2b6e2d01594,$hard boil egg,1600000000047596494,,1.00,9/17/2025,No,Yes,,
1600000000389573313,77ac07ff-5659-4138-89aa-5b1ee93dd6b0,Pasta Salad Special,1600000000388402685,,4.00,11/19/2025,No,No,1111111117,
1600000000049302117,77f8849b-51d0-4ce7-bb0d-c36098a33d83,Fanta,1600000000049345971,,3.00,9/18/2025,No,No,,
1600000000047702859,79737a8c-3192-4d79-a54d-0f3821c6f38e,$blue cheese crumbles,1600000000047596499,,1.50,9/17/2025,No,Yes,,
1600000000065051728,79be2b9b-4bbb-4531-a8ef-5302cc48e7cd,Fanta 7.5 oz,1600000000065051729,,1.75,9/25/2025,No,No,049000061031,
1600000000100284350,7b08a687-6538-4d46-af35-8c74c5bda1f7,guava jarrito,1600000000100284351,,3.95,10/6/2025,No,No,090478410081,
1600000000047729899,7bc7927a-cd9f-4c3e-9efa-f9c198edc0b7,mayo,1600000000047758436,,0.00,9/17/2025,No,Yes,,
1600000000047670881,7bec5975-fd4a-4c0b-9def-da6a8c5bc078,bacon,1600000000047728377,,0.00,9/17/2025,No,Yes,,
1600000000100984863,7c38805d-c233-41bc-af85-12866cf53cfc,ruffles,1600000000100984864,,1.00,10/6/2025,No,No,028400090148,
1600000000047664736,7d3b0e90-c257-4bb5-83f4-8367d3f69d83,Ranch,1600000000047648847,,0.00,9/17/2025,No,Yes,,
1600000000047746190,7de86823-137a-49ba-a2bf-6a67b492f6b6,No ham,1600000000047773769,,0.00,9/17/2025,No,Yes,,
1600000000049295137,7e5fe05d-e7b0-47a7-977e-94e99747baf5,Jalapeno Tuna,1600000000049392624,,14.00,9/18/2025,No,No,,
1600000000047746186,7ea51c3c-c938-4d29-a01b-d7ea1c8acec3,No red onion,1600000000047773765,,0.00,9/17/2025,No,Yes,,
1600000000575487984,7eb22bcc-96f3-47e1-8108-c6f0db867efc,Waterloo trp frt,1600000000575487985,,1.50,12/9/2025,No,No,819215022048,
1600000000388444227,818c9589-3a37-42ce-b251-1934cd9ba81e,Hot Cheeto Fries,1600000000388709831,,1.50,11/19/2025,No,No,028400043014,
1600000000047170997,82567ad5-9973-4551-93ca-38db265a3447,mango,1600000000047456605,,0.00,9/17/2025,No,Yes,,
1600000000047200120,825a17f0-348a-4434-bc00-d0a1f0a93df0,Mocha,1600000000047200119,,6.00,9/17/2025,No,No,,
1600000000047526510,827e7c3c-f2ec-4ead-a9c3-a6544942d38f,California Turkey,1600000000047495279,,14.00,9/17/2025,No,No,125436745674,
1600000000047670880,8368fc96-e233-4d8b-9338-885299df4bdd,cotija cheese,1600000000047728376,,0.00,9/17/2025,No,Yes,,
1600000000100984825,845c9b90-d28d-432d-80d5-66d7c39e8da3,sour skittles,1600000000100984826,,3.00,10/6/2025,No,No,04026606,
1600000000047506807,84bd4cba-f2ed-45eb-8637-9aad56a4901a,Fried Iced Cream,1600000000047472749,,7.00,9/17/2025,No,No,,
1600000000100984819,854d5f73-d710-4ede-9956-ee76eb891fd1,hi chew strawberry,1600000000100984820,,2.50,10/6/2025,No,No,873983000028,
1600000000100984839,859be92e-97b9-4f84-9c7d-18a593d09ebd,peanuts m&m's,1600000000100984840,,3.00,10/6/2025,No,No,040000000327,
1600000000049150308,86825c21-1159-4535-a190-81ee992de5a8,Nilla wafers,1600000000049069732,,10.00,9/18/2025,No,No,044000027346,
1600000000641757731,86e482cc-ac74-4b5e-9e98-2261a1bb02ff,Celcius,1600000000641757732,,4.00,12/15/2025,No,No,889392000320,
1600000000100359578,8779be8c-8751-445f-8704-907497b17be5,butterfingers,1600000000100359579,,3.00,10/6/2025,No,No,099900100873,
1600000000047653013,877ac5c1-46a7-4da2-ac08-a8492eb38872,Chips,1600000000047655279,,0.00,9/17/2025,No,No,,
